Members,MembersC,Political Affiliation,Political Bloc
Abraham SHEK,石禮謙,PF,E
Alan LEONG,梁家傑,CP,D
Albert CHAN,陳偉業,PP,D
Albert HO,何俊仁,DP,D
Alice MAK,麥美娟,FTU,E
Alvin YEUNG,楊岳橋,CP,D
Andrew LEUNG,梁君彥,BPA,E
CHAN Chi-chuen,陳志全,PP,D
CHAN Hak-kan,陳克勤,DAB,E
CHAN Han-pan,陳恒鑌,DAB,E
CHAN Kam-lam,陳鑑林,DAB,E
CHAN Kin-por,陳健波,IND,E
CHAN Yuen-han,陳婉嫻,FTU,E
CHEUNG Kwok-che,張國柱,LAB,D
CHUNG Kwok-pan,鍾國斌,LIB,E
Charles Peter MOK,莫乃光,PC,D
Christopher CHEUNG,張華峰,BPA,E
Christopher CHUNG,鍾樹根,DAB,E
Claudia MO,毛孟靜,CP,D
Cyd HO,何秀蘭,LAB,D
Dennis KWOK,郭榮鏗,CP,D
Dr CHIANG Lai-wan,蔣麗芸,DAB,E
Dr Elizabeth QUAT,葛珮帆,DAB,E
Dr Fernando CHEUNG,張超雄,LAB,D
Dr Helena WONG,黃碧雲,DP,D
Dr Joseph LEE,李國麟,IND,D
Dr KWOK Ka-ki,郭家麒,CP,D
Dr Kenneth CHAN,陳家洛,CP,D
Dr LAM Tai-fai,林大輝,CF,E
Dr LAU Wong-fat,劉皇發,BPA,E
Dr LEUNG Ka-lau,梁家騮,IND,D
Dr Priscilla LEUNG,梁美芬,BPA,E
Emily LAU,劉慧卿,DP,D
Frankie YICK,易志明,LIB,E
Frederick FUNG,馮檢基,ADPL,D
Gary FAN,范國威,ND,D
IP Kin-yuen,葉建源,PTU,D
IP Kwok-him,葉國謙,DAB,E
Ir Dr LO Wai-kwok,盧偉國,BPA,E
James TIEN,田北俊,LIB,E
James TO,涂謹申,DP,D
Jeffrey LAM,林健鋒,BPA,E
KWOK Wai-keung,郭偉强,FTU,E
Kenneth LEUNG,梁繼昌,PC,D
LEE Cheuk-yan,李卓人,LAB,D
LEUNG Che-cheung,梁志祥,DAB,E
LEUNG Kwok-hung,梁國雄,LSD,D
LEUNG Yiu-chung,梁耀忠,NWSC,D
MA Fung-kwok,馬逢國,NF,E
Martin LIAO,廖長江,PF,E
Michael TIEN,田北辰,NPP,E
Mrs Regina IP,葉劉淑儀,NPP,E
NG Leung-sing,吳亮星,PF,E
POON Siu-ping,潘兆平,FLU,E
Paul TSE,謝偉俊,IND,E
Ronny TONG,湯家驊,CP,D
SIN Chung-kai,單仲偕,DP,D
Starry LEE,李慧琼,DAB,E
Steven HO,何俊賢,DAB,E
TAM Yiu-chung,譚耀宗,DAB,E
TANG Ka-piu,鄧家彪,FTU,E
TSANG Yok-sing,曾鈺成,DAB,E
Tommy CHEUNG,張宇人,LIB,E
Tony TSE,謝偉銓,IND,E
Vincent FANG,方剛,LIB,E
WONG Kwok-hing,王國興,FTU,E
WONG Kwok-kin,黃國健,FTU,E
WONG Ting-kwong,黃定光,DAB,E
WONG Yuk-man,黃毓民,IND,D
WU Chi-wai,胡志偉,DP,D
YIU Si-wing,姚思榮,PF,E
